Date,rain_acc,air_temperature,Quality_flag,horizontal_wind_speed,relative_humidity,wind_direction
01/01/2016 00:00,0,6.505,,7.01,78.1,77
01/01/2016 01:00,0,5.938,,4.14,80.4,56.69
01/01/2016 02:00,0,5.366,,3.647,83,29.57
01/01/2016 03:00,0,5.164,,2.216,83.6,44.89
01/01/2016 04:00,0,5.291,,1.444,81.2,7.16
01/01/2016 05:00,0,4.992,,0.816,80.3,16.33
01/01/2016 06:00,0,4.534,,3.653,81.5,278.2
01/01/2016 07:00,0,4.424,,4.411,82.3,289.1
01/01/2016 08:00,0,4.145,,5.347,80.2,282.8
01/01/2016 09:00,0,3.862,,5.903,82.8,296.3
01/01/2016 10:00,0,4.973,,7.38,75.3,294.3
01/01/2016 11:00,0,5.654,,8.22,76.8,293.4
01/01/2016 12:00,0,7.41,,11.22,77.1,309.3
01/01/2016 13:00,0,7.78,,10.45,73.7,295.5
01/01/2016 14:00,0,8,,10.45,76.2,293.6
01/01/2016 15:00,0,8.31,,11.08,80.8,296.6
01/01/2016 16:00,1.29,8.03,,12.68,89.1,308.4
01/01/2016 17:00,0,8.2,,12.8,88.9,302.9
01/01/2016 18:00,0,8.35,,13.96,86.6,309.5
01/01/2016 19:00,0,8.46,,16.21,84.4,314.8
01/01/2016 20:00,0,8.63,,14.55,83,305.5
01/01/2016 21:00,0,8.73,,15.45,81.9,295.3
01/01/2016 22:00,0,8.75,,12.82,83,309.8
01/01/2016 23:00,0,8.51,,11.32,86.3,313.2
02/01/2016 00:00,2.58,8.55,,11.24,88.7,312.2
02/01/2016 01:00,1.29,8.69,,13.44,89.9,312.1
02/01/2016 02:00,1.29,9,,12.2,90.9,308.3
02/01/2016 03:00,0,9.55,,11.09,89.3,321
02/01/2016 04:00,0,9.98,,10.44,87.7,315.3
02/01/2016 05:00,0,10.08,,12.68,85.8,316.2
02/01/2016 06:00,0,10.46,,12.98,84,315.7
02/01/2016 07:00,1.29,10.02,,12.95,88.2,321.4
02/01/2016 08:00,1.29,10.01,,9.73,90.9,332.7
02/01/2016 09:00,0,10.57,,12.37,84.8,337.7
02/01/2016 10:00,1.29,10.46,,11.8,86.1,329.1
02/01/2016 11:00,0,10.66,,13.18,86.4,328.7
02/01/2016 12:00,0,10.64,,14.17,86.3,330.9
02/01/2016 13:00,0,10.31,,13.25,89.4,325.8
02/01/2016 14:00,0,10.36,,12.21,90.4,321.4
02/01/2016 15:00,1.29,10.5,,10.04,92,320
02/01/2016 16:00,1.29,10.92,,7.98,93,350.9
02/01/2016 17:00,1.29,11.32,,9.25,91.9,32.19
02/01/2016 18:00,0,11.06,,13.21,90.4,48.57
02/01/2016 19:00,1.29,11.07,,12.26,90.4,65.84
02/01/2016 20:00,0,10.94,,16.07,87.8,79.5
02/01/2016 21:00,0,10.54,,11.35,92,80.5
02/01/2016 22:00,0,10.51,,12.61,89.8,68.3
02/01/2016 23:00,0,10.65,,10.76,87.4,71.8
03/01/2016 00:00,0,10.54,,12.17,89.1,61.78
03/01/2016 01:00,2.58,9.66,,15.95,93.5,73.6
03/01/2016 02:00,1.29,9.32,,19.2,84.3,75.6
03/01/2016 03:00,0,8.54,,15.34,82.1,68.2
03/01/2016 04:00,0,8.05,,10.29,73.8,59.23
03/01/2016 05:00,0,7.37,,6.987,75.6,37.55
03/01/2016 06:00,0,7.11,,5.678,71.5,19.3
03/01/2016 07:00,0,7.01,,4.029,73.8,335.5
03/01/2016 08:00,0,7.32,,6.025,78.3,325.5
03/01/2016 09:00,0,8.92,,9.12,83.3,349.7
03/01/2016 10:00,0,9.42,,11.64,86.3,345.1
03/01/2016 11:00,0,9.41,,11.22,86.9,335.1
03/01/2016 12:00,1.29,9.4,,14.52,87.6,337
03/01/2016 13:00,2.58,9.17,,14.97,88.8,337.1
03/01/2016 14:00,2.58,9.15,,14.64,89.5,334.4
03/01/2016 15:00,2.58,9.68,,12.29,86.6,9.7
03/01/2016 16:00,0,9.21,,7.47,84.8,31.3
