
Date,rain_acc,air_temperature,Quality_flag,horizontal_wind_speed,relative_humidity,wind_direction
01/03/2017 00:00, ,14.51,,10.47,72,48.91
01/03/2017 01:00,,14.38,,12.65,77.2,49.46
01/03/2017 02:00,,14.25,,9.42,80.4,27.6
01/03/2017 03:00,,14.14,,9.02,86.6,17.29
01/03/2017 04:00,,14,,7.77,88,29.22
01/03/2017 05:00,,13.89,,12.19,89.7,23.24
01/03/2017 06:00,,13.73,,12.58,88.7,21.47
01/03/2017 07:00,,13.62,,13.64,88.6,19.7
01/03/2017 08:00,,13.51,,13.32,90.6,29.61
01/03/2017 09:00,,13.46,,12.91,90.8,28.73
01/03/2017 10:00,,13.44,,12.05,91.4,34.61
01/03/2017 11:00,,13.42,,14.75,90.1,44.93
01/03/2017 12:00,,13.42,,14.36,90.2,45.53
01/03/2017 13:00,,13.39,,15.78,86.7,54.49
01/03/2017 14:00,,13.44,,12.41,84.6,54.37
01/03/2017 15:00,,13.55,,13.85,79.1,69.79
01/03/2017 16:00,,13.69,,17.84,74.5,70.1
01/03/2017 17:00,,13.8,,22.95,72.5,83
01/03/2017 18:00,,13.89,,16.46,71.6,78.9
01/03/2017 19:00,,13.96,,18.26,69.46,74.3
01/03/2017 20:00,,13.93,,15.77,66.52,71.3
01/03/2017 21:00,,13.89,,14.81,69.11,61.26
01/03/2017 22:00,,13.87,,15.89,71.5,70.1
01/03/2017 23:00,,13.8,,14.06,72.7,65.2
02/03/2017 00:00,,13.75,,14.64,74.7,67.66
02/03/2017 01:00,,13.69,,15.56,75.3,56.86
02/03/2017 02:00,,13.6,,18.49,75.1,66.69
02/03/2017 03:00,,13.53,,12.79,75.1,90.8
02/03/2017 04:00,,13.55,,11.77,72.8,91.5
02/03/2017 05:00,,13.53,,11.74,70.6,76.7
02/03/2017 06:00,,13.39,,12.45,73.5,72.5
02/03/2017 07:00,,13.24,,11.57,66.82,75
02/03/2017 08:00,,13.04,,12.34,73.6,51.6
02/03/2017 09:00,,12.81,,17.66,75.3,69.72
02/03/2017 10:00,,12.53,,15.99,80,62.32
02/03/2017 11:00,,12.3,,11.63,88.5,64.45
02/03/2017 12:00,,12.24,,13.18,81.9,62.85
02/03/2017 13:00,,12.1,,24.6,76.7,99.2
02/03/2017 14:00,,12.1,,20.11,64.85,108.8
02/03/2017 15:00,,12.17,,23.99,54.02,119
02/03/2017 16:00,,12.24,,19.6,59.56,119
02/03/2017 17:00,,12.35,,14.23,64.39,101.6
02/03/2017 18:00,,12.39,,12.71,65.99,95.6
02/03/2017 19:00,,12.41,,10.11,66.84,73.9
02/03/2017 20:00,,12.35,,13.8,71.9,84
02/03/2017 21:00,,12.3,,14.39,77,89.9
02/03/2017 22:00,,12.26,,14.37,76.9,95.9
02/03/2017 23:00,,12.24,,15.03,72.1,91.7
03/03/2017 00:00,,12.22,,18.78,72.6,101.7
03/03/2017 01:00,,12.22,,13.92,77.1,110.6
03/03/2017 02:00,,12.24,,14.75,72.8,109.1
03/03/2017 03:00,,12.26,,17.61,71.6,115.3
03/03/2017 04:00,,12.28,,15.39,62.6,135.4
03/03/2017 05:00,,12.3,,12.51,70.5,153.8
03/03/2017 06:00,,12.3,,11.68,73.8,148.5
03/03/2017 07:00,,12.33,,13.32,74.6,139
03/03/2017 08:00,,12.33,,8.17,74.9,130.1
03/03/2017 09:00,,12.3,,7.6,69.95,138.7
03/03/2017 10:00,,12.37,,7.47,64.35,131
03/03/2017 11:00,,12.5,,7.44,57.59,113.8
03/03/2017 12:00,,12.75,,7.03,49.7,113.3
03/03/2017 13:00,,13.04,,8.93,48.22,78.2
03/03/2017 14:00,,13.33,,9.86,50.1,77
03/03/2017 15:00,,13.57,,10.37,55.5,98.5
03/03/2017 16:00,,13.8,,6.594,60.87,69.29
03/03/2017 17:00,,13.96,,8.95,65.22,51.74
03/03/2017 18:00,,14,,6.24,65.36,31.69
03/03/2017 19:00,,14.07,,9.16,71.3,7.94
03/03/2017 20:00,,14.07,,9.12,73.5,18.8
03/03/2017 21:00,,14.05,,8.86,75.9,6.229
03/03/2017 22:00,,14.02,,10.06,78.5,356.1
03/03/2017 23:00,,13.98,,13.47,83.2,0.905
04/03/2017 00:00,,13.93,,11.22,89.2,356.7
04/03/2017 01:00,,13.89,,10.67,92.2,8.28
04/03/2017 02:00,,13.82,,10.37,87.7,50.72
04/03/2017 03:00,,13.75,,14.15,77.8,96.1
04/03/2017 04:00,,13.73,,12.17,76,116.1
04/03/2017 05:00,,13.69,,11.49,76,98.5
04/03/2017 06:00,,13.6,,8.26,78.1,73.5
